start_zone_id,start_zone_name,end_zone_id,end_zone_name,time_bucket,duration
148,Lower East Side,4,Alphabet City,10:00 PM–8:00 AM,8
148,Lower East Side,4,Alphabet City,7:00 PM–10:00 PM,10
148,Lower East Side,4,Alphabet City,11:00 AM–4:00 PM,10
151,Manhattan Valley,4,Alphabet City,8:00 AM–11:00 AM,38
158,Meatpacking/West Village West,4,Alphabet City,10:00 PM–8:00 AM,24
158,Meatpacking/West Village West,4,Alphabet City,8:00 AM–11:00 AM,16
158,Meatpacking/West Village West,4,Alphabet City,4:00 PM–7:00 PM,17
158,Meatpacking/West Village West,4,Alphabet City,7:00 PM–10:00 PM,18
158,Meatpacking/West Village West,4,Alphabet City,11:00 AM–4:00 PM,19
161,Midtown Center,4,Alphabet City,7:00 PM–10:00 PM,26
161,Midtown Center,4,Alphabet City,8:00 AM–11:00 AM,22
161,Midtown Center,4,Alphabet City,10:00 PM–8:00 AM,19
161,Midtown Center,4,Alphabet City,4:00 PM–7:00 PM,23
161,Midtown Center,4,Alphabet City,11:00 AM–4:00 PM,25
162,Midtown East,4,Alphabet City,10:00 PM–8:00 AM,20
162,Midtown East,4,Alphabet City,11:00 AM–4:00 PM,22
162,Midtown East,4,Alphabet City,4:00 PM–7:00 PM,25
162,Midtown East,4,Alphabet City,8:00 AM–11:00 AM,30
162,Midtown East,4,Alphabet City,7:00 PM–10:00 PM,23
163,Midtown North,4,Alphabet City,10:00 PM–8:00 AM,31
163,Midtown North,4,Alphabet City,11:00 AM–4:00 PM,34
163,Midtown North,4,Alphabet City,4:00 PM–7:00 PM,29
163,Midtown North,4,Alphabet City,8:00 AM–11:00 AM,30
163,Midtown North,4,Alphabet City,7:00 PM–10:00 PM,30
164,Midtown South,4,Alphabet City,4:00 PM–7:00 PM,18
164,Midtown South,4,Alphabet City,10:00 PM–8:00 AM,18
164,Midtown South,4,Alphabet City,8:00 AM–11:00 AM,19
164,Midtown South,4,Alphabet City,7:00 PM–10:00 PM,18
164,Midtown South,4,Alphabet City,11:00 AM–4:00 PM,19
166,Morningside Heights,4,Alphabet City,11:00 AM–4:00 PM,50
170,Murray Hill,4,Alphabet City,11:00 AM–4:00 PM,20
170,Murray Hill,4,Alphabet City,7:00 PM–10:00 PM,17
170,Murray Hill,4,Alphabet City,4:00 PM–7:00 PM,17
170,Murray Hill,4,Alphabet City,8:00 AM–11:00 AM,21
170,Murray Hill,4,Alphabet City,10:00 PM–8:00 AM,16
181,Park Slope,4,Alphabet City,8:00 AM–11:00 AM,39
181,Park Slope,4,Alphabet City,4:00 PM–7:00 PM,36
181,Park Slope,4,Alphabet City,10:00 PM–8:00 AM,33
181,Park Slope,4,Alphabet City,11:00 AM–4:00 PM,32
181,Park Slope,4,Alphabet City,7:00 PM–10:00 PM,34
186,Penn Station/Madison Sq West,4,Alphabet City,11:00 AM–4:00 PM,23
186,Penn Station/Madison Sq West,4,Alphabet City,10:00 PM–8:00 AM,20
186,Penn Station/Madison Sq West,4,Alphabet City,8:00 AM–11:00 AM,18
186,Penn Station/Madison Sq West,4,Alphabet City,4:00 PM–7:00 PM,21
186,Penn Station/Madison Sq West,4,Alphabet City,7:00 PM–10:00 PM,26
188,Prospect-Lefferts Gardens,4,Alphabet City,4:00 PM–7:00 PM,34
189,Prospect Heights,4,Alphabet City,4:00 PM–7:00 PM,38
189,Prospect Heights,4,Alphabet City,7:00 PM–10:00 PM,33
189,Prospect Heights,4,Alphabet City,11:00 AM–4:00 PM,35
189,Prospect Heights,4,Alphabet City,10:00 PM–8:00 AM,44
190,Prospect Park,4,Alphabet City,7:00 PM–10:00 PM,40
193,Queensbridge/Ravenswood,4,Alphabet City,7:00 PM–10:00 PM,43
195,Red Hook,4,Alphabet City,10:00 PM–8:00 AM,58
195,Red Hook,4,Alphabet City,4:00 PM–7:00 PM,43
195,Red Hook,4,Alphabet City,11:00 AM–4:00 PM,40
209,Seaport,4,Alphabet City,4:00 PM–7:00 PM,18
209,Seaport,4,Alphabet City,7:00 PM–10:00 PM,20
209,Seaport,4,Alphabet City,10:00 PM–8:00 AM,19
209,Seaport,4,Alphabet City,11:00 AM–4:00 PM,23
